column_name,data_type,is_nullable,column_default
id,uuid,NO,gen_random_uuid()
user_id,uuid,YES,null
created_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
league_id,uuid,YES,null
is_public,boolean,YES,true
eff_1,numeric,YES,null
eff_2,numeric,YES,null
eff_3,numeric,YES,null
eff_4,numeric,YES,null
eff_5,numeric,YES,null
eff_6,numeric,YES,null
eff_7,numeric,YES,null
starter,boolean,YES,null
captain,boolean,YES,null
position,text,YES,null
sminutes,text,YES,null
sfieldgoalsmade,integer,YES,null
sfieldgoalsattempted,integer,YES,null
sfieldgoalspercentage,numeric,YES,null
sthreepointersmade,integer,YES,null
sthreepointersattempted,integer,YES,null
sthreepointerspercentage,numeric,YES,null
stwopointersmade,integer,YES,null
stwopointersattempted,integer,YES,null
stwopointerspercentage,numeric,YES,null
sfreethrowsmade,integer,YES,null
sfreethrowsattempted,integer,YES,null
sfreethrowspercentage,numeric,YES,null
sreboundsdefensive,integer,YES,null
sreboundsoffensive,integer,YES,null
sreboundstotal,integer,YES,null
sassists,integer,YES,null
sturnovers,integer,YES,null
ssteals,integer,YES,null
sblocks,integer,YES,null
sblocksreceived,integer,YES,null
sfoulspersonal,integer,YES,null
sfoulson,integer,YES,null
spoints,integer,YES,null
spointssecondchance,integer,YES,null
spointsfastbreak,integer,YES,null
splusminuspoints,integer,YES,null
spointsinthepaint,integer,YES,null
firstname,text,YES,null
familyname,text,YES,null
firstnameinitial,text,YES,null
familynameinitial,text,YES,null
internationalfirstname,text,YES,null
internationalfamilyname,text,YES,null
playingposition,text,YES,null
shirtnumber,text,YES,null
active,boolean,YES,null
numeric_id,text,YES,null
side,text,YES,null
identifier_duplicate,text,YES,null
game_key,text,YES,null
team_name,text,YES,null
player_id,uuid,YES,null
full_name,text,YES,null
team_id,uuid,YES,null